offer_id	tea_name	year	producer	recipe_or_origin	storage	vendor	country	url	purchase_g	source_currency	source_price	eur_rate	price_eur	eur_per_10g	checked_on	flight_ids	tiers	anchor	confidence	availability	notes	role
ktm-2025-dayi-7542-2501-25g	2025 DaYi 7542 batch 2501	2025	Menghai Tea Factory / Dayi	7542 batch 2501	unknown	King Tea Mall	China	https://kingteamall.com/products/2025-dayi-7542-cake-357g-puerh-sheng-cha-raw-tea	25	USD	8.99	pending-task-5	pending-task-5	pending-task-5	2026-08-30	1|9|12	essential|standard	no	vendor_claim	in_stock	Provisional primary age-anchor candidate; selected 25g variant. Live vendor API also offered 10g, 50g, 100g, cake, and stack. Storage is unknown; identity and sensory copy are not independently verified.	candidate
ktm-2015-dayi-7542-1501-30g	2015 DaYi 7542 first batch	2015	Menghai Tea Factory / Dayi	7542 first batch	Guangzhou; vendor states dry and clean conditions	King Tea Mall	China	https://kingteamall.com/products/2015-dayi-7542-cake-357g-puerh-sheng-cha-raw-tea	30	USD	8.99	pending-task-5	pending-task-5	pending-task-5	2026-08-30	1|2|9|12	standard	no	vendor_claim	in_stock	Provisional primary age-anchor candidate; selected 30g sample. Measured conditions and custody chronology are unknown.	candidate
ktm-2007-dayi-7542-701-25g	2007 DaYi 7542 batch 701	2007	Menghai Tea Factory / Dayi	7542 batch 701	Guangzhou natural weather; vendor states moderate humidity and temperature	King Tea Mall	China	https://kingteamall.com/products/2007-dayi-7542-cake-357g-puerh-sheng-cha-raw-tea-batch-701	25	USD	16.99	pending-task-5	pending-task-5	pending-task-5	2026-08-30	1|2|9|12|22	standard|advanced	no	vendor_claim	in_stock	Provisional primary age-anchor candidate; selected 25g sample. Recipe, batch, storage, and tasting language are vendor claims.	candidate
ys-aged-storage-comparison-150g	Aged Raw Pu-erh Tea Storage Comparison Sampler	mixed 2000-2007	Multiple producers	Six raw teas: Yiwu, Bulang, Mengku, and Farmer Ban Zhang-labelled material	Two Kunming; two Banna; two Guangdong dry storage	Yunnan Sourcing	China	https://yunnansourcing.com/products/aged-raw-pu-erh-tea-storage-comparison-sampler	150	USD	72.50	pending-task-5	pending-task-5	pending-task-5	2026-08-30	2|10|22	standard|advanced	no	vendor_claim	in_stock	Orientation candidate; six 25g components. Productions and years differ, so use only for broad storage orientation, not a controlled storage comparison.	candidate
lp-2007-xzh-shangpin-storage-pair-32g	2007 XiZi Hao Shangpin USA vs Taiwan Storage	2007	XiZi Hao	Shangpin; Kuzhushan (Jinggu)	16g Taiwan humid storage plus 16g Hou De USA storage	Liquid Proust	United States	https://www.etsy.com/listing/4479672864/2007-shangpin-xizihao-usa-vs-taiwan	32	USD	15.00	pending-task-5	pending-task-5	pending-task-5	2026-08-30	5|10|22	standard|advanced	no	vendor_claim	in_stock	Provisional primary matched-storage candidate; listing verified seller-stated year, XiZi Hao/Shangpin name, two 16g portions, storage labels, price, and two units left. Exact batch/cake identity, measured conditions, custody dates, and USA protocol are unknown.	candidate
yeeon-2000-7542-trad-hk-10g	2000 Yee On commissioned Menghai 7542	2000	Menghai Tea Factory	7542; inner ticket 2000YOTC2HK	Yee On professional traditional Hong Kong warehouse; page says mature after 23 years	Yee On Tea Co.	Hong Kong	https://yeeonteaco.com/products/2000-7542-menghai-tea-factory-25-years-of-traditional-manufacturing-raw-pu-erh-tea-cake	10	HKD	140.00	pending-task-5	pending-task-5	pending-task-5	2026-08-30	10|12|23	standard|advanced	no	vendor_claim	in_stock	Provisional primary traditional-storage candidate; selected 10g variant. Individual cellar duration and post-cellar airing chronology are unknown.	candidate
yeeon-2008-taste-hk-trad-cellar-25g	2008 Taste of Hong Kong Raw Pu-erh	2008	Forever Tea Factory	Spring Qizi cake recipe inspired by 1970s production	Stored and post-fermented for 12 years in Yee On's traditional Hong Kong basement warehouse	Yee On Tea Co.	Hong Kong	https://yeeonteaco.com/products/2008-taste-of-hong-kong-raw-pu-erh-teacake-cellar-storage	25	HKD	23.00	pending-task-5	pending-task-5	pending-task-5	2026-08-30	10|23	standard|advanced	no	vendor_claim	in_stock	Provisional primary traditional-storage candidate; selected 25g variant. Rotation, measured conditions, and a separate post-cellar airing period are unknown.	candidate
yeeon-2000-7532-trad-hk-10g	2000 Yee On commissioned Menghai 7532	2000	Menghai Tea Factory	7532; inner ticket 2000YOTC2HK	Traditional-storage character stated; exact warehouse and airing history unknown	Yee On Tea Co.	Hong Kong	https://yeeonteaco.com/products/2000-7532-menghai-tea-factory-25-years-of-traditional-experience-manufacturing-raw-pu-erh-tea-cake	10	HKD	140.00	pending-task-5	pending-task-5	pending-task-5	2026-08-30	10|12|23	standard|advanced	no	vendor_claim	in_stock	Substitution candidate; selected 10g variant. Same seller-stated year and factory as the 7542 candidate, but a different recipe and weaker product-level storage documentation.	candidate
lp-2024-xzh-yuntai-8582-16g	2024 Xizi Hao Yun Tai 8582	2024	XiZi Hao	Yun Tai 8582	unknown	Liquid Proust	United States	https://www.etsy.com/listing/1837554872/2024-xizihao-yun-tai-8582-raw-puerh-16g	16	USD	20.00	pending-task-5	pending-task-5	pending-task-5	2026-08-30	9|12|23	advanced	no	vendor_claim	in_stock	Provisional primary lineage candidate; listing documents name, year, weight, price, and stock. Storage is unknown.	candidate
lp-2007-xzh-diangu-16g	2007 Xizi Hao Diangu	2007	XiZi Hao	Diangu; origin unknown	unknown	Liquid Proust	United States	https://www.etsy.com/listing/4303638794/2007-diangu-xizihao-raw-puerh-16g	16	USD	17.00	pending-task-5	pending-task-5	pending-task-5	2026-08-30	9|12|23	advanced	no	vendor_claim	in_stock	Provisional primary late-semi-aged lineage candidate; not a recipe, origin, or storage control.	candidate
bana-2000-private-hk-storage-50g	Private Storage Aged Raw Pu-erh	2000	unknown	Menghai-area raw puerh	More than 20 years in Master Chan's Hong Kong warehouse; method unknown	Bana Tea Company	United States	https://banateacompany.com/products/private-storage-aged-raw-pu-erh	50	USD	39.00	pending-task-5	pending-task-5	pending-task-5	2026-08-30	10|22	advanced	no	vendor_claim	in_stock	Alternate Hong Kong-storage candidate only; do not call traditional storage without cellar and airing documentation.	candidate
twl-2005-dayi-7542-504-taiwan-357g	2005 Dayi 7542 batch 504 — Taiwan storage	2005	Menghai Tea Factory / Dayi	7542 batch 504	Taiwan storage	Teas We Like	Taiwan	https://teaswelike.com/product/2005-dayi-7542-batch-504-taiwan-vs-malaysian-storage/	357	USD	225.00	pending-task-5	pending-task-5	pending-task-5	2026-08-30	2|5|10|22	advanced	no	vendor_claim	unavailable	Ideal exact-named-production storage candidate; full-cake variation ID 7826, SKU C133. Live variation data showed out of stock. Would be cake-only if restocked; recheck this canonical parent URL and exact variation.	candidate
